Date,Clicks,Impressions,CTR,Position
2025-12-28,18,169,10.65%,24.2
2025-12-29,20,208,9.62%,28.7
2025-12-30,24,195,12.31%,37.5
2025-12-31,24,170,14.12%,44.4
2026-01-01,21,286,7.34%,59.2
2026-01-02,14,283,4.95%,47.5
2026-01-03,13,128,10.16%,27.9
2026-01-04,19,160,11.88%,27.2
2026-01-05,23,286,8.04%,37
2026-01-06,28,199,14.07%,20.7
2026-01-07,26,233,11.16%,41.6
2026-01-08,14,247,5.67%,48.9
2026-01-09,18,282,6.38%,37.2
2026-01-10,14,270,5.19%,37.9
2026-01-11,14,256,5.47%,32.1
2026-01-12,14,203,6.9%,46.4
2026-01-13,23,278,8.27%,43.1
2026-01-14,12,344,3.49%,43.8
2026-01-15,14,254,5.51%,44.4
2026-01-16,17,223,7.62%,43.3
2026-01-17,26,342,7.6%,61
2026-01-18,13,327,3.98%,55.4
2026-01-19,26,362,7.18%,44.7
2026-01-20,20,279,7.17%,41.7
2026-01-21,19,365,5.21%,46.1
2026-01-22,16,381,4.2%,44.6
2026-01-23,21,286,7.34%,40
2026-01-24,28,365,7.67%,42.2
2026-01-25,25,304,8.22%,36.6
2026-01-26,32,440,7.27%,48.9
2026-01-27,18,377,4.77%,42.5
2026-01-28,23,374,6.15%,44.1
2026-01-29,13,312,4.17%,48.4
2026-01-30,27,326,8.28%,42.5
2026-01-31,28,331,8.46%,38.7
2026-02-01,23,473,4.86%,49.8
2026-02-02,17,565,3.01%,40.8
2026-02-03,19,322,5.9%,46.3
2026-02-04,22,252,8.73%,38.7
2026-02-05,10,289,3.46%,64.6
2026-02-06,13,144,9.03%,37.5
2026-02-07,12,138,8.7%,42.9
2026-02-08,12,157,7.64%,45.6
2026-02-09,23,157,14.65%,50.7
2026-02-10,12,178,6.74%,40.8
2026-02-11,24,193,12.44%,39.8
2026-02-12,15,126,11.9%,41.9
2026-02-13,18,178,10.11%,40.7
2026-02-14,11,140,7.86%,41.8
2026-02-15,19,166,11.45%,52.2
2026-02-16,13,180,7.22%,47.5
2026-02-17,11,120,9.17%,42.8
2026-02-18,17,131,12.98%,35
2026-02-19,8,69,11.59%,45.4
2026-02-20,14,64,21.88%,29.2
2026-02-21,13,53,24.53%,24
2026-02-22,20,97,20.62%,23.2
2026-02-23,11,88,12.5%,42.2
2026-02-24,9,70,12.86%,39.7
2026-02-25,13,76,17.11%,41.1
2026-02-26,14,99,14.14%,36.4
2026-02-27,17,85,20%,24.7
2026-02-28,16,75,21.33%,21.1
2026-03-01,14,53,26.42%,19.1
2026-03-02,5,65,7.69%,31.7
2026-03-03,9,222,4.05%,36
2026-03-04,13,424,3.07%,44
2026-03-05,13,283,4.59%,41.2
2026-03-06,10,207,4.83%,39.9
2026-03-07,22,195,11.28%,31
2026-03-08,17,182,9.34%,27.9
2026-03-09,31,371,8.36%,31.1
2026-03-10,50,459,10.89%,31.8
2026-03-11,62,681,9.1%,28.9
2026-03-12,66,824,8.01%,28.5
2026-03-13,89,856,10.4%,26.7
2026-03-14,99,1043,9.49%,30.4
2026-03-15,106,1089,9.73%,29.6
2026-03-16,110,1408,7.81%,35.4
2026-03-17,125,1514,8.26%,29.8
2026-03-18,132,1446,9.13%,25.2
2026-03-19,170,1728,9.84%,24
2026-03-20,178,1658,10.74%,24
2026-03-21,181,1882,9.62%,23.1
2026-03-22,181,1793,10.09%,24.7
2026-03-23,192,1771,10.84%,22
2026-03-24,150,1420,10.56%,19
2026-03-25,45,324,13.89%,31.9
2026-03-26,45,244,18.44%,24.6
2026-03-27,39,223,17.49%,28.4
